,edge_id,b,f_max
89,"(61, 65)",4.5872,237
90,"(61, 66)",8.547,316
91,"(65, 66)",9.8522,316
92,"(64, 67)",62.5,1234
93,"(46, 68)",3.5997,183
94,"(48, 68)",3.0864,156
95,"(68, 69)",7.874,306
96,"(23, 69)",2.4301,129
97,"(69, 70)",28.169,298
98,"(23, 71)",5.102,262
99,"(70, 71)",5.5556,286
100,"(70, 72)",22.0264,338
101,"(69, 73)",7.5586,271
102,"(69, 74)",7.0922,271
103,"(68, 74)",8.1967,261
104,"(73, 74)",24.6305,271
105,"(75, 76)",6.7568,273
106,"(68, 76)",9.901,270
107,"(74, 76)",5.0025,253
108,"(76, 77)",80.6452,271
109,"(77, 78)",40.9836,313
110,"(76, 79)",20.6186,253
111,"(78, 79)",14.2045,315
112,"(67, 80)",49.505,1231
113,"(76, 81)",11.7233,253
114,"(81, 82)",27.2851,270
115,"(82, 83)",7.5758,219
116,"(82, 84)",6.7568,277
117,"(83, 84)",15.6006,219
118,"(84, 85)",8.1301,280
119,"(84, 87)",9.8039,334
120,"(84, 88)",5.7803,302
121,"(87, 88)",14.0449,334
122,"(88, 89)",5.3191,271
123,"(89, 90)",11.9617,271
124,"(88, 91)",19.802,334
125,"(90, 91)",7.8616,271
126,"(91, 92)",11.7925,271
127,"(91, 93)",6.3291,271
128,"(92, 93)",13.6612,271
129,"(93, 94)",23.0415,271
130,"(79, 95)",5.4945,286
131,"(81, 95)",18.8679,270
132,"(93, 95)",11.5075,266
133,"(79, 96)",10.7066,334
134,"(79, 97)",9.2593,316
135,"(79, 98)",4.8544,252
136,"(91, 99)",3.3898,176
137,"(93, 99)",17.2414,270
138,"(94, 95)",18.2815,266
139,"(95, 96)",11.2994,334
140,"(97, 99)",5.5866,288
141,"(98, 99)",12.3001,315
142,"(99, 100)",7.9239,316
143,"(91, 101)",17.8891,316
144,"(100, 101)",8.9286,316
145,"(99, 102)",19.0476,271
146,"(99, 103)",4.902,253
147,"(102, 103)",6.3131,275
148,"(102, 104)",6.1538,261
149,"(99, 105)",4.3668,223
150,"(103, 104)",26.455,289
151,"(104, 105)",18.2815,295
152,"(104, 106)",5.4645,277
153,"(104, 107)",14.2248,246
154,"(105, 106)",5.4645,277
155,"(107, 108)",34.7222,248
156,"(102, 109)",5.5157,286
157,"(108, 109)",13.1234,248
158,"(109, 110)",13.245,277
159,"(109, 111)",15.625,243
160,"(16, 112)",33.2226,271
161,"(31, 112)",4.9261,250
162,"(31, 113)",16.3399,316
163,"(26, 114)",13.4953,315
164,"(113, 114)",96.1538,315
165,"(11, 116)",7.1429,306
166,"(74, 117)",20.79,271
167,"(75, 117)",18.3824,271
168,"(7, 4)",38.0235,1978
169,"(25, 24)",27.2688,1382
170,"(29, 16)",26.8471,1360
171,"(37, 36)",28.5205,1409
172,"(62, 58)",26.9862,1368
173,"(63, 60)",37.8817,1971
174,"(64, 65)",28.9059,1427
175,"(67, 68)",28.9059,1427
176,"(80, 79)",28.9059,1427
177,"(86, 85)",4.8216,253
178,"(67, 115)",246.9136,12992
